timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772987126,fine_s1_tv_a3800_nominal,ppo_cont,Walker2d-v4,1,100,0,tv_a3800,nominal,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,1467.3369109589296,586.9151139761734,1416.064066266299,1385.4732222074058,370.4077084014396,3635.229691679758
1772987168,fine_s1_tv_a3800_damping_0p5,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_0p5,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.5,1524.3175325056502,504.2033683506304,1497.692621353966,1479.0387856937336,689.2147691706338,3503.317698950168
1772987209,fine_s1_tv_a3800_damping_0p6,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_0p6,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.6,1545.4388695095683,603.6709060373324,1460.702704053485,1432.8846919774323,694.6724517117495,3820.385604708991
1772987250,fine_s1_tv_a3800_damping_0p7,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_0p7,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.7,1490.184634155814,495.8496159081939,1432.1882474941422,1436.4402969290218,722.7947744163206,3520.506231570628
1772987291,fine_s1_tv_a3800_damping_0p8,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_0p8,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.8,1544.4198867166765,581.3787123000741,1467.3416900130087,1436.7985790305263,662.3663147069389,3478.3175960820045
1772987332,fine_s1_tv_a3800_damping_0p9,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_0p9,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.9,1582.4986168108385,501.0066685923218,1500.0567768244623,1509.056355881117,740.7432999002688,3161.877353708946
1772987372,fine_s1_tv_a3800_damping_1p1,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_1p1,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.1,1506.630188829567,560.577274620808,1412.4551868530536,1435.0685310837084,133.72505369364532,3544.885433129989
1772987412,fine_s1_tv_a3800_damping_1p3,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_1p3,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.3,1522.2657795664577,472.2489293310845,1485.8500515675055,1466.5683570779895,578.1803392134225,2824.8401800309503
1772987451,fine_s1_tv_a3800_damping_1p5,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_1p5,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.5,1416.2683110347955,522.5364207359758,1336.151788143885,1324.7903027601542,699.3210037384027,3007.0698547587062
1772987491,fine_s1_tv_a3800_damping_1p7,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,damping_1p7,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.7,1508.8898959984765,446.2646442231911,1456.0737868528308,1463.776937000261,793.6795697714664,2885.9986847705263
