timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,deterministic_eval,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1779511741,eval__Walker2d-v4__ppo_cont__a2p95__actuator_gain_0p5__seed10__pid1783970,ppo_cont,Walker2d-v4,10,30,1,a2p95,actuator_gain_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__10__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__10__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.5,1.0,327.0213496293221,13.671633702860904,327.29158358218695,327.1280262730112,304.43759817235343,349.2909898907613,
1779511760,eval__Walker2d-v4__ppo_cont__a2p95__mass_0p5__seed10__pid1900440,ppo_cont,Walker2d-v4,10,30,1,a2p95,mass_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__10__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__10__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,-1,,-1,,1.0,,1.0,1.0,3322.411560965821,851.2109375124327,3676.765502567643,3658.735890528766,709.3621946808975,3971.8060326716286,
1779511743,eval__Walker2d-v4__ppo_cont__a2p95__actuator_gain_0p5__seed11__pid625870,ppo_cont,Walker2d-v4,11,30,1,a2p95,actuator_gain_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__11__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__11__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.5,1.0,325.731889216868,1.2758496065534048,325.7890352757057,325.8025919877473,322.78941966142185,328.8414141415338,
1779511744,eval__Walker2d-v4__ppo_cont__a2p95__mass_0p5__seed11__pid625855,ppo_cont,Walker2d-v4,11,30,1,a2p95,mass_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__11__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__11__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,-1,,-1,,1.0,,1.0,1.0,336.1276081029108,32.969389733701924,338.114822014082,336.9156878828189,270.0982693809111,412.4352539948427,
1779511743,eval__Walker2d-v4__ppo_cont__a2p95__actuator_gain_0p5__seed12__pid3128991,ppo_cont,Walker2d-v4,12,30,1,a2p95,actuator_gain_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__12__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__12__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.5,1.0,408.6230407585451,15.205687916368586,409.1301096190375,408.7726306796458,384.9864618039218,433.6957127277818,
1779511746,eval__Walker2d-v4__ppo_cont__a2p95__mass_0p5__seed12__pid4117927,ppo_cont,Walker2d-v4,12,30,1,a2p95,mass_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__12__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__12__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,-1,,-1,,1.0,,1.0,1.0,835.0386633067877,716.5390910814509,647.5804505042499,658.8199609777231,128.21446012996174,3611.2661044612064,
1779511742,eval__Walker2d-v4__ppo_cont__a2p95__actuator_gain_0p5__seed13__pid3129021,ppo_cont,Walker2d-v4,13,30,1,a2p95,actuator_gain_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__13__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__13__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.5,1.0,300.5885451178684,2.815407161896744,300.0344932455723,300.50758291355254,295.4893316338695,304.9428448172277,
1779511742,eval__Walker2d-v4__ppo_cont__a2p95__mass_0p5__seed13__pid3129005,ppo_cont,Walker2d-v4,13,30,1,a2p95,mass_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__13__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__13__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,-1,,-1,,1.0,,1.0,1.0,271.271974722703,57.56927213775558,249.0526837727795,252.93589340864915,215.93704781581388,441.2553519049431,
1779511740,eval__Walker2d-v4__ppo_cont__a2p95__actuator_gain_0p5__seed14__pid3486078,ppo_cont,Walker2d-v4,14,30,1,a2p95,actuator_gain_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__14__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__14__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.5,1.0,354.6493144486316,4.776101516169644,355.12546628934444,355.0097143971093,341.06168469501137,365.75042570987904,
1779511740,eval__Walker2d-v4__ppo_cont__a2p95__mass_0p5__seed14__pid3486109,ppo_cont,Walker2d-v4,14,30,1,a2p95,mass_0p5,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__14__1779434273/ppo_alpha_a2p95.cleanrl_model,/home/users/am1015/rl_runs_walker_confirm_30seed_20260521/Walker2d-v4__ppo_alpha_a2p95__14__1779434273/ppo_alpha_a2p95.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,-1,,-1,,1.0,,1.0,1.0,424.79764986812654,409.3930218870293,317.6774301934262,320.8638122113404,121.22252209032686,2415.0539821588845,
