timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,deterministic_eval,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1783521154,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0__seed1__pid1831990,td3,Walker2d-v4,1,20,1,vanilla,foot_left_actuator_gain_0,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__1__1783132180/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__1__1783132180/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.0,1.0,349.4474118945876,162.6759719078002,323.101418812292,323.6067614138115,72.24232894480195,737.3626527033309,foot_left_joint
1783521157,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0__seed2__pid1832025,td3,Walker2d-v4,2,20,1,vanilla,foot_left_actuator_gain_0,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__2__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__2__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.0,1.0,197.87508537611004,44.95319171675486,183.88940169407687,184.71353896449767,178.4607355857935,373.9188015433781,foot_left_joint
1783521161,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0__seed3__pid1832062,td3,Walker2d-v4,3,20,1,vanilla,foot_left_actuator_gain_0,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__3__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__3__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.0,1.0,213.20424090118348,10.878660799390865,209.68461445249227,210.27691185782345,203.92767752589705,245.92615429989644,foot_left_joint
1783521164,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0__seed4__pid1832097,td3,Walker2d-v4,4,20,1,vanilla,foot_left_actuator_gain_0,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__4__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__4__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.0,1.0,202.67942219777177,8.943428634099464,201.5009632071672,202.17849639636745,188.8006694981471,218.49732839659603,foot_left_joint
1783521168,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0__seed5__pid1832145,td3,Walker2d-v4,5,20,1,vanilla,foot_left_actuator_gain_0,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__5__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__5__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.0,1.0,276.2079061310031,8.167993844043213,273.14114113618643,274.86075090158727,265.1952452035688,292.16950103539926,foot_left_joint
1783521171,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0p1__seed1__pid1832183,td3,Walker2d-v4,1,20,1,vanilla,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__1__1783132180/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__1__1783132180/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,287.2620921250081,33.474315161510084,275.8026036019007,281.30451418681696,245.03951878034616,340.69843649402185,foot_left_joint
1783521174,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0p1__seed2__pid1832218,td3,Walker2d-v4,2,20,1,vanilla,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__2__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__2__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,180.63523111682557,10.334572258413482,179.6641377784012,179.1751051932764,166.97398884980296,204.9643325958718,foot_left_joint
1783521178,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0p1__seed3__pid1832254,td3,Walker2d-v4,3,20,1,vanilla,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__3__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__3__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,198.88638104407732,12.454863978365625,201.5539981775874,201.314155521184,163.63672116449334,214.65602682105765,foot_left_joint
1783521181,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0p1__seed4__pid1832289,td3,Walker2d-v4,4,20,1,vanilla,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__4__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__4__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,168.71400124031638,2.0379734162626546,168.75793955932386,168.69313094277683,164.19362445412074,171.59875024990143,foot_left_joint
1783521184,eval__Walker2d-v4__td3__vanilla__foot_left_actuator_gain_0p1__seed5__pid1832340,td3,Walker2d-v4,5,20,1,vanilla,foot_left_actuator_gain_0p1,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__5__1783132179/td3_kl_vanilla.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_vanilla__5__1783132179/td3_kl_vanilla.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,0.1,1.0,260.8001782314978,3.445173561646347,261.350019660421,261.2112325074968,253.95916547837945,265.6101644925253,foot_left_joint
