model_label,seed,tag,present
klprho0,10,charts/episodic_return,True
klprho0,10,eval/episodic_return,True
klprho0,10,losses/qf_loss,True
klprho0,10,losses/actor_loss,True
klprho0,10,kl_physical/requested_radius,True
klprho0,10,kl_physical/effective_beta_median,False
klprho0,10,kl_physical/effective_beta_mean,False
klprho0,10,kl_physical/worst_case_saturation_fraction,True
klprho0,10,kl_physical/joint_return_std_across_dynamics,True
klprho0,10,kl_physical/reference_target_mean,True
klprho0,10,kl_physical/robust_target_mean,True
klprho0,10,kl_physical/worst_member_target_mean,True
klprho0,10,kl_physical/pessimism_gap_mean,True
klprho0,10,kl_physical/pessimism_gap_p95,True
klprho0,10,kl_physical/implicit_kl_radius_mean,True
klprho0,10,kl_physical/implicit_kl_radius_p95,True
klprho0,10,kl_physical/worst_member_adversarial_weight_mean,True
klprho0,10,kl_physical/effective_num_dynamics_mean,True
klprho0,10,kl_physical/nominal_obs_max_abs_error,True
klprho0,10,kl_physical/nominal_reward_abs_error,True
klprho0,10,charts/SPS,True
klprho0,11,charts/episodic_return,True
klprho0,11,eval/episodic_return,True
klprho0,11,losses/qf_loss,True
klprho0,11,losses/actor_loss,True
klprho0,11,kl_physical/requested_radius,True
klprho0,11,kl_physical/effective_beta_median,False
klprho0,11,kl_physical/effective_beta_mean,False
klprho0,11,kl_physical/worst_case_saturation_fraction,True
klprho0,11,kl_physical/joint_return_std_across_dynamics,True
klprho0,11,kl_physical/reference_target_mean,True
klprho0,11,kl_physical/robust_target_mean,True
klprho0,11,kl_physical/worst_member_target_mean,True
klprho0,11,kl_physical/pessimism_gap_mean,True
klprho0,11,kl_physical/pessimism_gap_p95,True
klprho0,11,kl_physical/implicit_kl_radius_mean,True
klprho0,11,kl_physical/implicit_kl_radius_p95,True
klprho0,11,kl_physical/worst_member_adversarial_weight_mean,True
klprho0,11,kl_physical/effective_num_dynamics_mean,True
klprho0,11,kl_physical/nominal_obs_max_abs_error,True
klprho0,11,kl_physical/nominal_reward_abs_error,True
klprho0,11,charts/SPS,True
klprho0,12,charts/episodic_return,True
klprho0,12,eval/episodic_return,True
klprho0,12,losses/qf_loss,True
klprho0,12,losses/actor_loss,True
klprho0,12,kl_physical/requested_radius,True
klprho0,12,kl_physical/effective_beta_median,False
klprho0,12,kl_physical/effective_beta_mean,False
klprho0,12,kl_physical/worst_case_saturation_fraction,True
klprho0,12,kl_physical/joint_return_std_across_dynamics,True
klprho0,12,kl_physical/reference_target_mean,True
klprho0,12,kl_physical/robust_target_mean,True
klprho0,12,kl_physical/worst_member_target_mean,True
klprho0,12,kl_physical/pessimism_gap_mean,True
klprho0,12,kl_physical/pessimism_gap_p95,True
klprho0,12,kl_physical/implicit_kl_radius_mean,True
klprho0,12,kl_physical/implicit_kl_radius_p95,True
klprho0,12,kl_physical/worst_member_adversarial_weight_mean,True
klprho0,12,kl_physical/effective_num_dynamics_mean,True
klprho0,12,kl_physical/nominal_obs_max_abs_error,True
klprho0,12,kl_physical/nominal_reward_abs_error,True
klprho0,12,charts/SPS,True
klprho0,13,charts/episodic_return,True
klprho0,13,eval/episodic_return,True
klprho0,13,losses/qf_loss,True
klprho0,13,losses/actor_loss,True
