timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,deterministic_eval,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1783523260,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p4__seed1__pid3035945,td3,Walker2d-v4,1,20,1,klb0p5,friction_damping_0p4,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.4,-1,,-1,,0.4,,1.0,1.0,289.3275074749705,52.53212453802601,278.9542856306448,277.74071467051,233.81867315289523,419.9028340120527,
1783523265,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p4__seed2__pid3035981,td3,Walker2d-v4,2,20,1,klb0p5,friction_damping_0p4,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.4,-1,,-1,,0.4,,1.0,1.0,440.5796023712225,173.42225321654266,400.8266616997888,402.356193713183,216.45343358111285,859.1321812072239,
1783523270,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p4__seed3__pid3036047,td3,Walker2d-v4,3,20,1,klb0p5,friction_damping_0p4,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.4,-1,,-1,,0.4,,1.0,1.0,307.56541982831743,78.46192569750879,305.3281121616301,306.1861001427215,125.2131925385687,436.8840933702034,
1783523274,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p4__seed4__pid3036084,td3,Walker2d-v4,4,20,1,klb0p5,friction_damping_0p4,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.4,-1,,-1,,0.4,,1.0,1.0,376.0950625260883,221.29045226727544,305.680621582118,305.04319610764657,200.5704765319261,1024.4552725989165,
1783523278,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p4__seed5__pid3036120,td3,Walker2d-v4,5,20,1,klb0p5,friction_damping_0p4,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.4,-1,,-1,,0.4,,1.0,1.0,256.9808021150902,69.01500506917043,249.68764573982244,256.7525609222091,154.35256958969862,399.61301297741375,
1783523282,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p5__seed1__pid3036156,td3,Walker2d-v4,1,20,1,klb0p5,friction_damping_0p5,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__1__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,-1,,-1,,0.5,,1.0,1.0,294.51062119441315,73.2118798454867,266.5658127456817,266.0542467105145,238.75287389268647,487.3822330099563,
1783523287,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p5__seed2__pid3036222,td3,Walker2d-v4,2,20,1,klb0p5,friction_damping_0p5,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__2__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,-1,,-1,,0.5,,1.0,1.0,461.68342920900096,142.6985128267988,432.5040240869986,438.4630422097779,263.91003500454474,738.7886682466408,
1783523292,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p5__seed3__pid3036260,td3,Walker2d-v4,3,20,1,klb0p5,friction_damping_0p5,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__3__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,-1,,-1,,0.5,,1.0,1.0,372.1076072215554,147.41486311570316,363.736224484458,368.7954907992284,116.43133352552992,670.200129981263,
1783523296,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p5__seed4__pid3036296,td3,Walker2d-v4,4,20,1,klb0p5,friction_damping_0p5,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__4__1783289937/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,-1,,-1,,0.5,,1.0,1.0,342.3722198886063,161.19915255652663,314.13722426017307,312.5556517119525,206.7412327165889,999.9614942322042,
1783523300,eval__Walker2d-v4__td3__klb0p5__friction_damping_0p5__seed5__pid3036362,td3,Walker2d-v4,5,20,1,klb0p5,friction_damping_0p5,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kl_20260703_td3_kl_softrobust_5seed_rerun/Walker2d-v4__td3_kl_klb0p5__5__1783289936/td3_kl_klb0p5.cleanrl_model.norm_stats.npz,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,-1,,-1,,0.5,,1.0,1.0,306.88128552305494,142.36131543694506,272.89147592584936,283.1074310009675,144.47830288800293,772.1184312728518,
