timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,deterministic_eval,xml_perturb,obs_noise_std,reward_noise_std,action_noise_std,action_replace_prob,xml_total_mass_scale,xml_body_mass_scale,xml_body_name_selector,xml_geom_friction_scale,xml_geom_friction_component,xml_geom_name_selector,xml_gravity_component_index,xml_gravity_component_value,xml_joint_damping_scale,xml_joint_name_selector,xml_actuator_gain_scale,xml_actuator_bias_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return,xml_actuator_joint_selector
1783614230,eval__Walker2d-v4__td3__kle100__action_replace_0__seed1__pid3308510,td3,Walker2d-v4,1,20,0,kle100,action_replace_0,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,1281.9184962297606,597.6104747937344,1299.9605568717293,1244.6964645438563,519.973404788576,2584.919919933968,
1783614228,eval__Walker2d-v4__td3__kle100__action_replace_0p05__seed1__pid1119262,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p05,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.05,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,1183.2140854460097,642.8133333463276,1051.1960752721825,1043.8189901331828,479.5265692906318,2948.528109762708,
1783614228,eval__Walker2d-v4__td3__kle100__action_replace_0p1__seed1__pid2016652,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p1,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.1,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,1217.1161812471787,738.4191240499719,951.2453776344782,1070.3888049944458,415.4993856891888,2701.323337568861,
1783614257,eval__Walker2d-v4__td3__kle100__action_replace_0p15__seed1__pid4044146,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p15,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.15,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,733.6271922880007,256.85714314183514,689.6295094318984,701.0233495862486,416.2581579378242,1259.5126492967092,
1783614258,eval__Walker2d-v4__td3__kle100__action_replace_0p2__seed1__pid3308682,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p2,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.2,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,631.5476364109577,254.4419781259754,584.0738282533125,577.0000397573795,267.96692404388455,1240.6778980751817,
1783614256,eval__Walker2d-v4__td3__kle100__action_replace_0p25__seed1__pid1119421,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p25,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.25,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,452.49273696224543,120.3132640030968,478.9796757386314,474.2465624127415,61.41696499950019,603.9977428210185,
1783614256,eval__Walker2d-v4__td3__kle100__action_replace_0p3__seed1__pid2016805,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p3,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.3,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,448.6894709024579,159.43856481254974,419.9040493441353,430.7278230052583,123.32520704771407,825.0902184858659,
1783614286,eval__Walker2d-v4__td3__kle100__action_replace_0p35__seed1__pid4044263,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p35,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.35,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,387.8534571391273,79.69953381616786,365.2904780661142,378.4650046606226,227.14305288538196,569.2941916753101,
1783614287,eval__Walker2d-v4__td3__kle100__action_replace_0p4__seed1__pid3308852,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p4,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.4,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,371.7337556406414,66.29146088135973,375.156428196188,370.1936429620845,238.01765166182008,520.9660317694731,
1783614286,eval__Walker2d-v4__td3__kle100__action_replace_0p45__seed1__pid1119600,td3,Walker2d-v4,1,20,1,kle100,action_replace_0p45,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model,/home/users/am1015/rl_runs_td3_walker_kle_20260708_td3_kle_nextobs_diag/Walker2d-v4__td3_kle_kle100__1__1783561713/td3_kle_kle100.cleanrl_model.norm_stats.npz,1,1,0,0.0,0.0,0.0,0.45,1.0,1.0,,1.0,-1,,-1,,1.0,,1.0,1.0,315.0935407879016,85.62086246998717,325.4278993819943,323.52517117740143,77.18097725358847,458.6311979711378,
